"species","code","title","timing","scope","severity","score","invasive"
"Aythya ferina","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aythya ferina","2.1.2","Small-holder farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aythya ferina","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aythya ferina","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA
"Aythya ferina","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aythya ferina","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aythya ferina","5.1.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA
"Aythya ferina","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aythya ferina","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aythya ferina","6.1","Recreational activities","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Aythya ferina","8.1","Invasive non-native/alien species/diseases (Cyprinus carpio)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Cyprinus carpio"
"Aythya ferina","8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neovison vison"
"Aythya ferina","8.1","Invasive non-native/alien species/diseases (Nyctereutes procyonoides)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Nyctereutes procyonoides"
"Aythya ferina","8.1","Invasive non-native/alien species/diseases (Procyon lotor)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Procyon lotor"
"Aythya ferina","8.1.2","Named species (Cyprinus carpio)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Cyprinus carpio"
"Aythya ferina","8.1.2","Named species (Neovison vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neovison vison"
"Aythya ferina","8.1.2","Named species (Nyctereutes procyonoides)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Nyctereutes procyonoides"
"Aythya ferina","8.1.2","Named species (Procyon lotor)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Procyon lotor"
"Aythya ferina","8.2","Problematic native species/diseases (Sus scrofa)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Sus scrofa"
"Aythya ferina","8.2","Problematic native species/diseases (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes"
"Aythya ferina","8.2.2","Named species (Sus scrofa)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Sus scrofa"
"Aythya ferina","8.2.2","Named species (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes"
"Aythya ferina","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA
"Aythya ferina","8.5.2","Named species","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA
"Aythya ferina","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aythya ferina","9.3.1","Nutrient loads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Somateria mollissima","11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Unknown","Unknown",NA
"Somateria mollissima","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA
"Somateria mollissima","2.4.2","Industrial aquaculture","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA
"Somateria mollissima","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Somateria mollissima","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Somateria mollissima","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Somateria mollissima","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Somateria mollissima","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Somateria mollissima","6.1","Recreational activities","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Somateria mollissima","6.3","Work & other activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Somateria mollissima","8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing",NA,NA,"Low Impact: 3","Neovison vison"
"Somateria mollissima","8.1","Invasive non-native/alien species/diseases (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus"
"Somateria mollissima","8.1.2","Named species (Neovison vison)","Ongoing",NA,NA,"Low Impact: 3","Neovison vison"
"Somateria mollissima","8.1.2","Named species (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus"
"Somateria mollissima","8.2","Problematic native species/diseases (Haliaeetus albicilla)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Haliaeetus albicilla"
"Somateria mollissima","8.2","Problematic native species/diseases (Pasteurella multocida)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Pasteurella multocida"
"Somateria mollissima","8.2.2","Named species (Haliaeetus albicilla)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Haliaeetus albicilla"
"Somateria mollissima","8.2.2","Named species (Pasteurella multocida)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Pasteurella multocida"
"Somateria mollissima","8.5","Viral/prion-induced diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Somateria mollissima","8.5.1","Unspecified species","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Somateria mollissima","9.2","Industrial & military effluents","Ongoing","Majority (50-90%)","Causing/Could cause fluctuations","Medium Impact: 6",NA
"Somateria mollissima","9.2.1","Oil spills","Ongoing","Majority (50-90%)","Causing/Could cause fluctuations","Medium Impact: 6",NA
"Somateria mollissima","9.4","Garbage & solid waste","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","11.1","Habitat shifting & alteration","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Melanitta nigra","11.5","Other impacts","Future","Majority (50-90%)","Unknown","Unknown",NA
"Melanitta nigra","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","4.3","Shipping lanes","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Melanitta nigra","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Melanitta nigra","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA
"Melanitta nigra","8.5.2","Named species","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA
"Melanitta nigra","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","9.2.1","Oil spills","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Melanitta nigra","9.3.4","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Bucephala clangula","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Bucephala clangula","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Bucephala clangula","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Bucephala clangula","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Bucephala clangula","8.1","Invasive non-native/alien species/diseases (Perca fluviatilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Perca fluviatilis"
"Bucephala clangula","8.1.2","Named species (Perca fluviatilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Perca fluviatilis"
"Bucephala clangula","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Bucephala clangula","9.2.1","Oil spills","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Mergus serrator","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Mergus serrator","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Mergus merganser","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Mergus merganser","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Milvus milvus","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA
"Milvus milvus","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA
"Milvus milvus","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Milvus milvus","2.3.3","Agro-industry grazing, ranching or farming","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Milvus milvus","3.3","Renewable energy","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA
"Milvus milvus","4.1","Roads & railroads","Ongoing","Majority (50-90%)","No decline","Low Impact: 5",NA
"Milvus milvus","4.2","Utility & service lines","Ongoing","Majority (50-90%)","No decline","Low Impact: 5",NA
